iter	Passed	Remaining
0	152	152230
1	153	76840
2	155	51784
3	157	39275
4	159	31654
5	160	26558
6	161	22917
7	162	20209
8	164	18077
9	165	16375
10	166	14980
11	168	13837
12	169	12850
13	171	12069
14	172	11336
15	173	10694
16	175	10127
17	176	9620
18	177	9166
19	178	8759
20	179	8390
21	181	8068
22	182	7762
23	184	7495
24	186	7265
25	187	7023
26	188	6801
27	190	6599
28	191	6407
29	192	6225
30	193	6057
31	195	5900
32	196	5752
33	197	5611
34	199	5501
35	200	5377
36	202	5258
37	203	5145
38	204	5038
39	205	4936
40	206	4840
41	208	4756
42	209	4669
43	211	4584
44	212	4513
45	214	4443
46	215	4368
47	216	4300
48	218	4232
49	219	4166
50	220	4105
51	221	4043
52	223	3984
53	224	3927
54	225	3873
55	227	3835
56	228	3785
57	229	3734
58	231	3687
59	232	3640
60	233	3596
61	235	3557
62	236	3516
63	237	3476
64	238	3435
65	240	3396
66	241	3366
67	243	3332
68	244	3298
69	245	3264
70	247	3233
71	248	3201
72	249	3168
73	250	3135
74	251	3104
75	252	3073
76	253	3044
77	255	3015
78	256	2989
79	257	2962
80	258	2935
81	259	2909
82	260	2878
83	261	2854
84	262	2830
85	264	2810
86	265	2787
87	266	2765
88	267	2743
89	269	2721
90	270	2700
91	271	2680
92	272	2661
93	274	2641
94	275	2621
95	276	2602
96	277	2585
97	278	2566
98	280	2548
99	281	2530
100	282	2514
101	283	2497
102	285	2484
103	286	2469
104	287	2452
105	288	2436
106	290	2421
107	291	2406
108	292	2391
109	293	2376
110	294	2361
111	296	2347
112	297	2333
113	298	2319
114	299	2307
115	301	2295
116	302	2280
117	303	2267
118	304	2254
119	305	2242
120	306	2230
121	307	2216
122	309	2204
123	310	2192
124	311	2180
125	312	2169
126	313	2157
127	315	2148
128	316	2137
129	317	2126
130	318	2115
131	320	2104
132	321	2093
133	322	2083
134	323	2073
135	324	2063
136	325	2053
137	327	2043
138	328	2032
139	329	2025
140	330	2016
141	331	2004
142	332	1994
143	334	1985
144	335	1976
145	336	1966
146	337	1957
147	338	1948
148	339	1939
149	340	1930
150	341	1921
151	342	1913
152	344	1906
153	345	1898
154	346	1890
155	347	1882
156	349	1874
157	350	1865
158	351	1857
159	352	1849
160	353	1839
161	354	1832
162	355	1824
163	356	1816
164	357	1809
165	358	1802
166	359	1795
167	361	1787
168	362	1782
169	363	1775
170	364	1769
171	366	1762
172	367	1757
173	368	1751
174	370	1745
175	371	1740
176	373	1734
177	374	1729
178	375	1723
179	376	1717
180	378	1711
181	379	1704
182	380	1698
183	381	1691
184	382	1684
185	383	1678
186	384	1672
187	385	1665
188	386	1659
189	388	1654
190	389	1648
191	390	1642
192	391	1636
193	392	1630
194	393	1625
195	394	1619
196	395	1613
197	396	1607
198	397	1601
199	399	1596
200	400	1590
201	401	1584
202	402	1579
203	403	1574
204	404	1569
205	405	1564
206	406	1558
207	407	1553
208	409	1548
209	410	1542
210	411	1537
211	412	1532
212	413	1527
213	414	1522
214	415	1517
215	416	1512
216	417	1508
217	419	1503
218	420	1498
219	421	1493
220	422	1489
221	423	1484
222	424	1479
223	425	1475
224	426	1470
225	427	1465
226	429	1461
227	430	1456
228	431	1451
229	432	1447
230	433	1443
231	434	1439
232	436	1435
233	437	1431
234	438	1427
235	439	1423
236	440	1418
237	441	1414
238	442	1409
239	443	1405
240	444	1401
241	446	1397
242	447	1393
243	448	1389
244	449	1385
245	450	1381
246	451	1376
247	452	1372
248	453	1368
249	454	1364
250	455	1360
251	457	1356
252	458	1352
253	459	1348
254	460	1344
255	461	1340
256	462	1337
257	463	1334
258	465	1331
259	466	1327
260	467	1323
261	468	1321
262	470	1318
263	472	1315
264	473	1312
265	474	1310
266	475	1306
267	477	1303
268	478	1300
269	479	1296
270	481	1294
271	482	1290
272	483	1287
273	484	1284
274	485	1281
275	487	1277
276	488	1274
277	489	1271
278	490	1268
279	492	1265
280	493	1262
